fish_id,Genotype,Position,Tray,Trial,Time,Bin,Distance_travelled,Velocity_mean,Velocity_var,Time_moving,Freq_moving,Acceleration_max,Acceleration_min,Freq_in_middle,Time_in_middle,Dist_to_middle_mean,Dist_to_middle_var,Mobility_var,Mobility_mean
2.2-6.10,het,A2,5,10,1899-12-31T10:41:00Z,10,16.3261,0.272102,2.4343,4.48,7,421.07,-301.488,0,0,2.93608,0.0101322,19.8874,0.726922
2.2-6.10,het,A2,5,10,1899-12-31T10:41:00Z,11,0,0,0,0,0,0,0,0,0,2.90815,3.39212e-4,0,0
2.2-6.10,het,A2,5,10,1899-12-31T10:41:00Z,12,0.734853,0.0122475,0.0754818,0,0,170.968,-170.968,0,0,2.88799,0.00188769,0.464216,0.0301212
2.2-6.10,het,A2,5,10,1899-12-31T10:41:00Z,13,3.52451,0.0587418,0.379541,0,0,233.73,-233.73,0,0,2.83011,0.0243763,2.9473,0.133167
2.2-6.10,het,A2,5,10,1899-12-31T10:41:00Z,14,1.43132,0.0238553,0.143416,0,0,176.058,-176.058,0,0,2.7038,0.00282653,0.758603,0.0483826
3.2-6.10,het,A3,5,1,1899-12-31T07:00:00Z,0,5.57763,0.0943442,0.744013,1.28,3,264.112,-267.292,0,0,3.10493,0.00641541,5.57434,0.244771
3.2-6.10,het,A3,5,1,1899-12-31T07:00:00Z,1,37.8845,0.631409,6.61387,11.2,15,522.623,-443.29,0,0,3.17826,0.0103241,60.6335,1.82078
3.2-6.10,het,A3,5,1,1899-12-31T07:00:00Z,2,70.8933,1.18156,14.0411,19.84,36,780.476,-465.022,0,0,2.95947,0.132199,161.046,3.82746
3.2-6.10,het,A3,5,1,1899-12-31T07:00:00Z,3,97.5517,1.62586,35.8884,19.84,22,2651.78,-1955.92,1,18.32,1.93706,1.95877,189.228,4.55051
3.2-6.10,het,A3,5,1,1899-12-31T07:00:00Z,4,104.506,1.74176,32.4368,16.04,6,1456.47,-1460.66,1,0.12,3.08041,0.181659,187.514,4.53165
3.2-6.10,het,A3,5,1,1899-12-31T07:00:00Z,5,89.902,1.49837,29.3543,20.64,31,2495.04,-1736.73,5,8.96,1.17286,0.784294,238.42,4.71963
3.2-6.10,het,A3,5,1,1899-12-31T07:00:00Z,6,133.319,2.22494,28.7972,36.52,42,967.588,-906.64,7,29.36,1.18448,2.14671,264.5,6.56639
3.2-6.10,het,A3,5,1,1899-12-31T07:00:00Z,7,146.683,2.44472,36.5286,28.28,21,2111.47,-938.848,3,2.96,2.30206,1.15654,261.494,6.7319
3.2-6.10,het,A3,5,1,1899-12-31T07:00:00Z,10,48.375,0.80625,28.6147,5.44,6,1445.72,-1704.01,1,0.12,2.81206,0.158509,96.5637,1.71973
3.2-6.10,het,A3,5,1,1899-12-31T07:00:00Z,11,0.470637,0.00785442,0.0461925,0,0,149.813,-149.813,0,0,2.85423,5.66833e-4,0.0961757,0.0112987
3.2-6.10,het,A3,5,1,1899-12-31T07:00:00Z,12,2.24959,0.0374931,0.21166,0,0,168.225,-168.225,0,0,2.82407,0.00138657,0.228873,0.0340172
3.2-6.10,het,A3,5,1,1899-12-31T07:00:00Z,13,1.31091,0.0218777,0.119661,0,0,152.575,-152.575,0,0,2.85528,0.00140051,0.0952933,0.0160462
3.2-6.10,het,A3,5,1,1899-12-31T07:00:00Z,14,25.2808,0.421346,5.55861,4.48,3,1116.74,-481.881,0,0,2.89809,0.023600200000000002,32.0712,1.00039
3.2-6.10,het,A3,5,4,1899-12-31T08:12:00Z,0,2.8289,0.0473694,0.281834,0,0,200.498,-200.498,0,0,3.2968,0.0031654,3.7337,0.147115
3.2-6.10,het,A3,5,4,1899-12-31T08:12:00Z,1,2.3985,0.0399751,0.287906,0,0,223.095,-271.062,0,0,3.1117,0.227262,4.22757,0.125226
3.2-6.10,het,A3,5,4,1899-12-31T08:12:00Z,2,2.94356,0.0490593,0.277953,0,0,171.955,-171.955,0,0,2.73312,0.121107,1.68963,0.0963322
3.2-6.10,het,A3,5,4,1899-12-31T08:12:00Z,3,2.92562,0.0488254,0.330172,0.44,1,215.067,-215.067,0,0,1.82125,0.924844,3.90337,0.136323
3.2-6.10,het,A3,5,4,1899-12-31T08:12:00Z,4,6.48852,0.108142,1.14863,0.52,1,514.341,-558.565,0,0,1.60429,0.122355,11.1239,0.244638
3.2-6.10,het,A3,5,4,1899-12-31T08:12:00Z,5,161.578,2.69297,68.224,28.2,25,3086.91,-2491.85,5,15.56,1.73662,1.91976,341.727,7.13531
3.2-6.10,het,A3,5,4,1899-12-31T08:12:00Z,6,102.371,1.71074,27.8002,19.88,21,945.632,-1111.47,3,19.48,1.50368,1.82431,218.52,4.88761
3.2-6.10,het,A3,5,4,1899-12-31T08:12:00Z,7,209.871,3.49785,51.1504,35.6,24,1219.69,-957.1,2,1.84,2.8256,0.663215,359.729,9.68675
3.2-6.10,het,A3,5,4,1899-12-31T08:12:00Z,10,25.9929,0.433216,12.6085,3.88,4,2186.36,-1684.61,0,0,3.32281,0.018972,54.9085,1.24615
3.2-6.10,het,A3,5,4,1899-12-31T08:12:00Z,11,3.12611,0.0521714,0.419798,0.56,1,260.775,-260.775,0,0,3.35427,0.00119376,4.6714,0.175728
3.2-6.10,het,A3,5,4,1899-12-31T08:12:00Z,12,2.61251,0.0435419,0.290387,0,0,211.884,-211.884,0,0,3.34661,0.00314466,2.84253,0.13746
3.2-6.10,het,A3,5,4,1899-12-31T08:12:00Z,13,4.41643,0.0736072,0.457944,0,0,222.867,-222.867,0,0,3.34371,0.0129804,4.83885,0.226566
3.2-6.10,het,A3,5,4,1899-12-31T08:12:00Z,14,8.02832,0.133984,1.75723,1.04,1,563.573,-439.507,0,0,2.78477,0.449123,11.395,0.346632
3.2-6.10,het,A3,5,7,1899-12-31T09:03:00Z,0,0.623062,0.0104331,0.0541033,0,0,130.895,-130.895,0,0,3.117,0.0056437,0.897998,0.0397243
3.2-6.10,het,A3,5,7,1899-12-31T09:03:00Z,1,18.7774,0.313583,1.81488,3.68,7,221.927,-259.612,0,0,3.03827,0.00848946,13.7701,0.778148
3.2-6.10,het,A3,5,7,1899-12-31T09:03:00Z,2,5.19407,0.0865679,0.777007,1.24,2,285.965,-324.715,0,0,2.41784,0.483335,11.5017,0.268416
3.2-6.10,het,A3,5,7,1899-12-31T09:03:00Z,3,1.93726,0.0322876,0.202337,0.44,1,222.403,-222.403,0,0,1.48538,0.0995912,0.928663,0.0577873
3.2-6.10,het,A3,5,7,1899-12-31T09:03:00Z,4,4.67879,0.0779798,1.24042,0.6,1,724.129,-352.856,0,0,1.65755,0.319071,12.3224,0.213516
